FILE  RUNTIME  HANDLER       OPCODE
-----------------------------------------------
0x00  0xB8     0x03F7BAD8    LOP_NOP / BREAK
0x04  0x25     0x03F7BEB8    LOP_POWK
0x09  0x80     0x03F7D504    LOP_MUL
0x0D  0xF0     0x03F7D5E0    LOP_JUMPXEQKN
0x0E  0x03     0x03F7BC60    LOP_JUMPIFNOT
0x12  0x10     0x03F7E9F4    LOP_CALL
0x13  0x66     0x03F7D1A0    LOP_GETTABLEN
0x17  0x2D     0x03F7BE74    LOP_JUMPIF
0x18  0x1D     0x03F7B688    LOP_SETGLOBAL
0x1C  0x30     0x03F7BCD0    LOP_LENGTH
0x21  0x2B     0x03F7BB80    LOP_MODK
0x26  0xA5     0x03F7D3D0    LOP_SUB
0x2A  0xF6     0x03F7D7D0    LOP_JUMPXEQKB
0x2B  0x3F     0x03F7BDF8    LOP_JUMPIFNOT (variant)
0x2F  0x55     0x03F7B4A4    LOP_COVERAGE
0x30  0x47     0x03F7B8F4    LOP_SETTABLEKS
0x34  0xB1     0x03F7C110    LOP_FASTCALL3
0x35  0xEE     0x03F7BD1C    LOP_GETGLOBAL
0x39  0x6A     0x03F7D4D8    LOP_MINUS
0x3E  0x8E     0x03F7D164    LOP_DIVK
0x43  0xE8     0x03F7CF9C    LOP_ADD
0x48  0x2F     0x03F7B5C8    LOP_JUMPBACK
0x4C  0x21     0x03F7BBD4    LOP_FASTCALL1
0x4D  0xB5     0x03F7B71C    LOP_GETTABLEKS
0x51  0x42     0x03F7B8B4    LOP_FORGPREP_INEXT
0x52  0x22     0x03F7BA18    LOP_MOVE
0x56  0x69     0x03F7D2CC    LOP_NOT
0x5B  0x92     0x03F7D0DC    LOP_MULK
0x5F  0x7F     0x03F7C0B0    LOP_NAMECALL (slow)
0x64  0xC9     0x03F7D7A0    LOP_FASTCALL
0x65  0xA6     0x03F7B350    LOP_JUMP
0x69  0x08     0x03F7B9B4    LOP_JUMPX
0x6A  0x1A     0x03F7B5E0    LOP_SETTABLEN
0x6E  0x89     0x03F7B3D8    LOP_FORGLOOP
0x6F  0xE4     0x03F7B3BC    LOP_LOADK
0x73  0xD9     0x03F7CEA0    LOP_CONCAT
0x78  0x77     0x03F7CE64    LOP_SUBK
0x7C  0x5D     0x03F7BF74    LOP_GETTABLEKS (slow/direct)
0x7D  0x7C     0x03F7D598    LOP_JUMPIFLE
0x81  0xA0     0x03F7B50C    LOP_FASTCALL2K
0x82  0xB3     0x03F7E824    LOP_RETURN
0x86  0x58     0x03F7C23C    LOP_LOADKX
0x87  0xA9     0x03F7D024    LOP_GETTABLE
0x8B  0xF4     0x03F7CF54    LOP_FORNLOOP
0x8C  0x81     0x03F7BAB8    LOP_LOADN
0x90  0xC1     0x03F7D48C    LOP_ANDK
0x95  0xD6     0x03F7D098    LOP_ADDK
0x99  0x90     0x03F7B20C    LOP_NAMECALL (fast)
0x9A  0x6D     0x03F7C254    LOP_JUMPIFEQ
0x9E  0xAB     0x03F7B35C    LOP_FASTCALL2
0x9F  0xF2     0x03F7BF00    LOP_FORGPREP
0xA3  0xA7     0x03F7C1B4    LOP_PREPVARARGS
0xA4  0xEA     0x03F7C294    LOP_GETIMPORT
0xA8  0x4E     0x03F7D318    LOP_FORNPREP
0xA9  0x6A     0x03F7B1E4    LOP_LOADB
0xAD  0x16     0x03F7BAE4    LOP_ORK
0xB2  0x3A     0x03F7B9D0    LOP_POW
0xB6  0xD5     0x03F7D624    LOP_IDIVK
0xB7  0xED     0x03F7D840    LOP_JUMPIFLT
0xBB  0x8C     0x03F7BD7C    LOP_FASTCALL (variant)
0xBC  0xDF     0x03F7B0B8    LOP_GETTABLEKS (hash)
0xC0  0xA2     0x03F7D670    LOP_NEWCLOSURE
0xC1  0xF5     0x03F7CDFC    LOP_CLOSEUPVALS
0xC5  0xE7     0x03F7CDCC    LOP_SETLIST
0xC6  0x6B     0x03F7B3AC    LOP_LOADNIL
0xCF  0xF9     0x03F7CF04    LOP_MOD
0xD3  0xEB     0x03F7D118    LOP_IDIV
0xD4  0x33     0x03F7B4C4    LOP_JUMPIFLE (2‑word)
0xD8  0xDB     0x03F7CFE4    LOP_DIVRK
0xDD  0x38     0x03F7B794    LOP_GETVARARGS
0xDE  0x06     0x03F7BB2C    LOP_SETTABLEN
0xE2  0xE0     0x03F7D804    LOP_DUPTABLE
0xE3  0xF3     0x03F7B57C    LOP_NATIVECALL
0xE7  0xA4     0x03F7D458    LOP_AND
0xEC  0x57     0x03F7D388    LOP_DIV
0xF0  0x62     0x03F7D418    LOP_JUMPXEQKS
0xF1  0x4A     0x03F7BC8C    LOP_JUMPIFNOTEQ
0xF5  0xB2     0x03F7D550    LOP_SUBRK
0xF6  0x05     0x03F7BA34    LOP_SETUPVAL
0xFB  0x00     0x03F7B090    LOP_GETUPVAL
0xFF  0x84     0x03F7CE28    LOP_NEWTABLE
